,id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,review_scores_rating,number_of_reviews
43,620905,2773726,0,Whittier,39.75263108463774,-104.97076720843049,Entire home/apt,5,2.0,4,1.0,170.0,130.0,100.0,2
45,629194,3125360,1,Berkeley,39.770676323626226,-105.03455540080934,Entire home/apt,2,1.0,0,1.0,85.0,75.0,97.0,218
46,632709,2157095,1,Highland,39.766588301704566,-105.00956625802628,Entire home/apt,5,2.0,2,2.0,149.0,85.0,97.0,82
47,662390,3344763,1,Platt Park,39.68303928224377,-104.98301903663784,Private room,2,1.0,1,1.0,58.0,35.0,99.0,40
48,662431,3344656,1,Washington Park,39.70417850069587,-104.96720567239667,Entire home/apt,2,1.0,0,1.0,109.0,39.0,98.0,151
49,665622,3364096,1,Highland,39.76091052879869,-105.01205436288187,Entire home/apt,6,1.0,2,3.0,120.0,50.0,95.0,678
50,676825,3440535,1,Stapleton,39.756631327446144,-104.88422854214805,Entire home/apt,6,2.5,3,3.0,199.0,120.0,99.0,112
52,732845,3816358,1,Five Points,39.75915981845197,-104.98067628571677,Entire home/apt,10,2.5,3,6.0,349.0,90.0,99.0,65
55,756594,3638426,1,South Park Hill,39.74156251155385,-104.91633219003343,Entire home/apt,4,1.0,2,2.0,78.0,20.0,98.0,198
56,760023,3441942,1,City Park West,39.749789667680346,-104.96447007865713,Private room,2,1.0,1,1.0,65.0,0.0,98.0,174
59,774712,4087056,1,City Park West,39.74128456716039,-104.9676078070743,Entire home/apt,2,1.0,1,1.0,105.0,50.0,98.0,27
60,774813,1810376,1,Clayton,39.76545875863194,-104.95422051304249,Private room,2,1.0,1,1.0,45.0,5.0,98.0,483
61,776434,3344763,1,Platt Park,39.68388929799609,-104.9807621130917,Entire home/apt,6,3.0,3,3.0,225.0,125.0,98.0,65
63,787456,4150751,1,Congress Park,39.73432841892958,-104.9566628307658,Private room,2,1.0,1,1.0,74.0,20.0,99.0,274
64,791138,4168059,1,Marston,39.62547872279624,-105.08109139035562,Private room,3,1.0,2,2.0,59.0,0.0,99.0,123
66,833937,4362827,1,Five Points,39.75525206771707,-104.9774508312209,Entire home/apt,4,1.0,2,2.0,128.0,75.0,97.0,355
67,852934,4452973,0,Goldsmith,39.67547577146947,-104.92997426689578,Entire home/apt,6,1.0,2,5.0,74.0,49.0,96.0,157
68,861993,4517141,0,Sloan Lake,39.7494020350268,-105.03548016200348,Entire home/apt,4,1.0,1,1.0,95.0,30.0,95.0,263
71,911140,332539,0,Congress Park,39.73890413695586,-104.95242013493237,Private room,2,1.0,1,1.0,72.0,0.0,97.0,50
72,915016,4911774,1,Capitol Hill,39.734173983031184,-104.97613742138896,Entire home/apt,3,1.0,1,1.0,95.0,30.0,98.0,230
73,921485,3378084,1,Highland,39.75892559688951,-105.01637334335858,Entire home/apt,2,1.0,1,1.0,129.0,85.0,98.0,52
74,923994,4970201,0,Congress Park,39.73729239697935,-104.9501289219505,Entire home/apt,6,2.5,3,3.0,235.0,175.0,99.0,30
75,953052,5173501,0,Congress Park,39.73219631963293,-104.94899266502415,Entire home/apt,3,1.0,2,2.0,110.0,60.0,100.0,1
76,958612,5216325,0,CBD,39.74531261766886,-104.99610351386019,Entire home/apt,4,2.0,2,2.0,95.0,150.0,96.0,10
77,962520,3540917,0,Five Points,39.75328672340513,-104.98812045263928,Entire home/apt,3,1.0,1,2.0,140.0,40.0,96.0,26
78,993015,2191569,0,Five Points,39.7509751445305,-104.97656402285291,Private room,2,1.5,1,1.0,55.0,5.0,94.0,493
79,1004131,4745285,0,Stapleton,39.76001252983648,-104.8688794836402,Entire home/apt,4,1.0,1,1.0,109.0,0.0,100.0,11
80,1035821,2869051,0,Five Points,39.75574657224975,-104.97661414615804,Entire home/apt,10,2.0,3,5.0,149.0,145.0,92.0,152
81,1041934,5811115,0,Berkeley,39.78184717164535,-105.03972142475108,Entire home/apt,6,1.0,2,3.0,215.0,120.0,97.0,23
82,1042331,5811115,0,Berkeley,39.78166269946343,-105.03975395616527,Entire home/apt,3,1.0,1,1.0,140.0,100.0,92.0,30
83,1069351,3577356,0,Sunnyside,39.773798250821216,-105.00936566911585,Entire home/apt,4,1.5,2,2.0,75.0,150.0,95.0,4
84,1074386,5910663,0,Lincoln Park,39.72770954938769,-104.9978794997005,Entire home/apt,2,1.0,1,1.0,175.0,50.0,93.0,37
86,1087609,5124037,0,Capitol Hill,39.734858793700035,-104.98561222809414,Entire home/apt,2,1.0,0,1.0,48.0,50.0,87.0,15
88,1106479,1496,1,Five Points,39.74940064685313,-104.97469207812243,Private room,2,1.0,1,1.0,75.0,10.0,97.0,179
89,1127235,6171072,0,West Highland,39.76013048049502,-105.03131235464468,Entire home/apt,6,1.0,3,4.0,254.0,100.0,94.0,21
90,1145324,2260880,1,Speer,39.71302263339607,-104.97511581361185,Private room,2,1.0,1,1.0,48.0,10.0,96.0,109
94,1220547,6658113,0,CBD,39.74565113869539,-104.99751013754428,Entire home/apt,2,1.0,1,1.0,79.0,0.0,100.0,1
95,1223593,6674631,0,Cheesman Park,39.73683914164058,-104.96974072818338,Private room,2,1.0,1,1.0,68.0,0.0,94.0,121
96,1223612,6674631,0,Cheesman Park,39.732060352468274,-104.96917952106364,Private room,3,1.0,1,2.0,62.0,0.0,94.0,146
100,1243697,1810376,1,Clayton,39.764268262429454,-104.95290435163544,Entire home/apt,6,2.0,3,3.0,250.0,100.0,95.0,95
102,1279362,6658113,0,CBD,39.74602424405902,-104.9961516162238,Entire home/apt,2,1.0,0,1.0,69.0,0.0,97.0,8
106,1288126,6658113,0,CBD,39.74665097501163,-104.99621325812694,Entire home/apt,2,1.0,0,1.0,69.0,0.0,96.0,6
