id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17962655,Pool!-16th Street Mall-Downtown-Brooks Tower,110426622,Brooks Tower Furnished Apartments,,CBD,39.74682736251045,-104.99563604629546,Entire home/apt,88,30,1,2017-12-08,0.11,6,330
17977629,"West Denver, easy to downtown & Red Rocks!",123485075,Julie,,Villa Park,39.73215217097905,-105.03088367253262,Entire home/apt,145,2,19,2018-08-12,1.56,1,147
17980809,New Bed/Private bath/Yale Station/30 day stays!,123518488,ZoeAnn,,Hampden,39.666104042327646,-104.91533076821295,Private room,45,30,6,2017-10-31,0.37,1,365
17989806,2bd/ 2ba Downtown Condo,3359927,Emily,,North Capitol Hill,39.74299673224268,-104.97800129596001,Entire home/apt,199,1,2,2017-04-09,0.12,2,0
17989895,Sleek Urban Apartment in trendy Sunnyside,94088154,James,,Sunnyside,39.77242573810109,-105.01532334660243,Entire home/apt,120,3,6,2018-08-12,0.38,1,207
17993478,Cozy PVT 2 BDR in Cap Hill Denver w/ Gym,6425090,Eric,,Capitol Hill,39.73173360472409,-104.98429784783312,Entire home/apt,90,1,82,2018-08-09,5.01,2,142
18000300,Downtown Home.Walk to Conv Cent and Concert Venues,24490061,Benjamin,,North Capitol Hill,39.74509473254917,-104.97821102701562,Entire home/apt,160,2,32,2018-08-05,1.95,2,337
18002228,Rococo Romance: 2 Bedroom Cap Hill,24326234,Christina,,Capitol Hill,39.73673622666851,-104.98187402719854,Entire home/apt,145,1,134,2018-08-25,7.88,5,285
18008948,Nice 1 Bedroom Apartment near Downtown Denver,116093184,Joshua,,Capitol Hill,39.73010201343035,-104.98570294844826,Entire home/apt,70,7,3,2018-02-08,0.28,1,0
18008954,Cozy retreat in the city,15904023,Emily,,Congress Park,39.73347062598225,-104.95451714504672,Private room,80,2,53,2018-07-09,3.17,1,119
18009005,Effortless near Anschutz,6041279,Christina,,Stapleton,39.758331817400844,-104.89174904511879,Private room,75,2,21,2018-08-12,1.36,1,89
18009288,"Sunny, open 2BD/2BA with rooftop deck!",12949423,Tom,,Cheesman Park,39.737249181162,-104.9646235719674,Entire home/apt,115,1,5,2017-05-28,0.30,2,0
18014902,Business traveller ready!  Awesome design.,7023715,Michele And Brian,,North Capitol Hill,39.74151379612785,-104.97429875463894,Entire home/apt,125,2,57,2018-07-28,3.57,1,164
18018738,Large Historic House Close to Mile High & Downtown,20578951,Ryan,,Jefferson Park,39.75799591804627,-105.02292889359317,Entire home/apt,99,1,78,2018-08-21,5.65,1,330
18023988,Quiet & Cozy Mid-Century Modern Home In Park Hill,100119989,Ryan,,Northeast Park Hill,39.76314509033452,-104.91353868021355,Entire home/apt,106,2,121,2018-08-23,7.30,1,64
18024364,"Cozy, centrally located 2 bed 1 bath house",35341426,Aaron,,Barnum,39.71668670844405,-105.03498227437764,Entire home/apt,57,3,12,2018-07-21,0.74,2,0
18024823,"Bedroom in cozy, centrally located home",35341426,Aaron,,Barnum,39.717231091054195,-105.03496119931425,Private room,25,1,120,2018-05-09,7.24,2,0
18034478,"Awesome 2BR House at Park Hill, Denver Colorado.",38010701,Sam,,South Park Hill,39.749542234929784,-104.90398174282902,Entire home/apt,100,2,18,2018-08-18,2.55,1,339
